id,user id,nama pesanan,status pesanan,created_at,updated_at
55,19,Spaghetti Bolognese,1,2025-01-06 02:38:16,2025-01-06 02:38:16
56,19,Fried Rice,1,2025-01-06 02:38:16,2025-01-06 02:38:16
57,19,Grilled Chicken,1,2025-01-06 02:38:16,2025-01-06 02:38:16
58,20,Vegan Burger,1,2025-01-06 02:38:16,2025-01-06 02:38:16
59,20,Vegetable Stir Fry,1,2025-01-06 02:38:16,2025-01-06 02:38:16
60,20,Grilled Chicken,1,2025-01-06 02:38:16,2025-01-06 02:38:16
61,20,Tofu Salad,1,2025-01-06 02:38:16,2025-01-06 02:38:16
62,21,Grilled Chicken,1,2025-01-06 02:38:16,2025-01-06 02:38:16
63,21,Fried Rice,1,2025-01-06 02:38:16,2025-01-06 02:38:16
64,21,Vegetable Stir Fry,1,2025-01-06 02:38:16,2025-01-06 02:38:16
65,22,Almond Milk Latte,1,2025-01-06 02:38:16,2025-01-06 02:38:16
66,22,Hazelnut Coffee,1,2025-01-06 02:38:16,2025-01-06 02:38:16
67,23,Vegan Burger,1,2025-01-06 02:38:16,2025-01-06 02:38:16
68,23,Grilled Chicken,1,2025-01-06 02:38:16,2025-01-06 02:38:16
69,23,Fried Rice,1,2025-01-06 02:38:16,2025-01-06 02:38:16
70,24,Vegetable Stir Fry,1,2025-01-06 02:38:16,2025-01-06 02:38:16
71,24,Beef Steak,1,2025-01-06 02:38:16,2025-01-06 02:38:16
72,24,Spaghetti Bolognese,1,2025-01-06 02:38:16,2025-01-06 02:38:16
73,24,Green Detox Juice,1,2025-01-06 02:38:16,2025-01-06 02:38:16
74,25,Grilled Chicken,1,2025-01-06 02:38:16,2025-01-06 02:38:16
75,25,Fried Rice,1,2025-01-06 02:38:16,2025-01-06 02:38:16
